Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
docile #30,Andy Garcia,Untitled,Docile Recordings,"12"", EP",,2021,20569174,Home_Collection_IH,2023-08-17 15:00:04,Mint (M),Generic,
DRMR-14101-1,Mystic (6),No Competition / That's Right,DreamWorks Records,"12"", Promo",,2003,837883,Home_Collection_IH,2023-08-13 14:12:02,Mint (M),Generic,
DRMR-13995,Mystic (6) featuring Donell Jones,Breathe (Better Days),"DreamWorks Records, Good Vibe Recordings","12""",,2003,1517462,Home_Collection_IH,2023-08-13 14:05:13,Near Mint (NM or M-),Mint (M),
DUBWAX 003,Mr. Cloudy,Einklang EP,Dubwax,"12"", EP, W/Lbl, Pin",,2013,4300211,Home_Collection_IH,2023-08-17 14:03:34,Mint (M),Mint (M),
EP 002,Uschi Classen Featuring Eska Mtungwazi,Home,Earth Project,"12""",,2000,4782,Home_Collection_IH,2023-08-17 15:24:26,Mint (M),Generic,
"EC0016, ecco.chamber 0016",Various,Playground Vol. 2,"Ecco.Chamber, Ecco.Chamber","12"", Smplr",,2001,202672,Home_Collection_IH,2023-08-17 14:32:37,Mint (M),Generic,
ECSY 104,Moloko,Indigo,Echo,"12"", Single",,2000,87890,Home_Collection_IH,2023-08-17 15:42:36,Mint (M),Very Good Plus (VG+),
EEE003,Unknown Artist,Untitled,EEE (2),"12"", S/Sided, W/Lbl",,2018,12193549,Home_Collection_IH,2023-07-27 20:29:01,Mint (M),Mint (M),Bought at Jiggy in July 2023
EEE010,Unknown Artist,Untitled ,EEE (2),"12"", S/Sided, W/Lbl",,2021,18158314,Home_Collection_IH,2023-07-27 20:27:41,Mint (M),Mint (M),Bought at Jiggy in July 2023
EEE013,Unknown Artist,EEE013,EEE (2),"12""",,2022,23258168,Home_Collection_IH,2023-08-05 13:23:59,Mint (M),Generic,
8TH 017,Funky Transport,Beautiful Boy,Eighth Dimension Records,"12""",,2003,207503,Home_Collection_IH,2023-09-26 21:56:07,Mint (M),Mint (M),Bought for 5
EILP5,Low Island,Ricardo Villalobos Remixes,Emotional Interference,"12""",,2021,19468501,Home_Collection_IH,2023-08-17 15:44:56,Mint (M),Generic,
ESP003B,Cos/Mes,Gozmez Land,ESP Institute,"12""",,2010,2452655,Home_Collection_IH,2023-08-13 22:42:05,Mint (M),Near Mint (NM or M-),
XPMVNL05,Various,Mental Wax Vol. 03,Expmental Records,"12""",,2021,21546415,Home_Collection_IH,2023-08-18 00:55:17,Mint (M),Generic,
"F 119, 137.0119.30, 137 0119 30",Laurent Garnier,The Man With The Red Face,"F Communications, F Communications, F Communications","12""",,2000,12994,Home_Collection_IH,2023-08-09 14:00:25,Mint (M),Mint (M),
WSS010,Will Sessions,Electromagnetic Reality,Fat Beats Distribution,"LP, Album",,2022,24192794,Home_Collection_IH,2023-08-11 09:50:01,Mint (M),Mint (M),
FC12007,Five Deez / Mr. Live,Special Brew - Heavy Loungin' EP Pt. 3,Fat City,"12"", EP",,2001,59516,Home_Collection_IH,2023-08-11 12:04:08,Mint (M),Very Good Plus (VG+),
FAS012+1,Julian Perez,FAS012+1,Fathers & Sons Productions,"12"", EP",,2023,26088613,Home_Collection_IH,2023-08-13 21:37:03,Mint (M),Generic,Acidic House
Fc 008,DJ Gregory,Solaris,Faya Combo,"12""",,2004,265815,Home_Collection_IH,2023-09-26 21:52:34,Mint (M),Near Mint (NM or M-),Bought for 7.5
FERTETT001,Various,Première Chenille,fertettu,"12""",,2022,23762759,Home_Collection_IH,2023-08-13 21:42:21,Mint (M),,Minimal (dark)
FLAME 01,JakeOne,Rascal EP,Flameboy Records,"12""",,2003,348377,Home_Collection_IH,2023-08-05 13:33:00,Mint (M),Generic,
FF003,Various,Funk003,Florence Records,"7""",,2022,22979690,Home_Collection_IH,2023-08-17 13:58:01,Mint (M),Generic,
FLORENCE012,Unknown Artist,Theo / I Had Love,Florence Records,"12""",,2022,22206343,Home_Collection_IH,2023-08-17 15:49:05,Mint (M),Generic,
FLTD016,Skygaze,Astral Trip,Flumo Recordings,"12""",,2022,23120231,Home_Collection_IH,2023-08-11 11:43:45,Mint (M),Mint (M),
FSR 031,Rhibosome / Reggie Watts,Impulse / Movin' On,Freestyle Records (2),"12"", TP",,2006,4960080,Home_Collection_IH,2023-08-17 14:18:42,Mint (M),Generic,
FFF008,Various,FFF008,FROUFROUFROU,"12"", Comp, 180",,2023,26916722,Home_Collection_IH,2023-08-17 14:01:25,Mint (M),Generic,
FV003,Rotciv,Awakening,Funnuvojere Records,"12"", EP",,2019,13812671,Home_Collection_IH,2023-08-17 14:30:53,Mint (M),Mint (M),
GSC 105,Unknown Artist,Starmachine Edits,Galaxy Sound Co.,"12"", Unofficial",,2016,9179043,Home_Collection_IH,2023-08-04 18:21:55,Mint (M),Near Mint (NM or M-),
GSC 45 04,The Frank Cunimondo Trio feat. Lynn Marino / Etta James & Sugar Pie DeSanto,Feelin' Good / In The Basement - Part 1,Galaxy Sound Co.,"7"", Promo, Unofficial",,2015,7868524,Home_Collection_IH,2023-08-04 17:49:40,Mint (M),Mint (M),
GSC 45 25,Dorothy Ashby,Dorothy Edits,Galaxy Sound Co.,"7"", Unofficial",,2020,15872881,Home_Collection_IH,2023-08-04 17:48:34,Mint (M),Mint (M),
GSC 45 33,"Jack Wilkins, Jan Hammer Group",Red Tribe / Peaceful,Galaxy Sound Co.,"7""",,2022,22918829,Home_Collection_IH,2023-08-04 17:50:14,Mint (M),Mint (M),
GSC 45 37,Unknown Artist,Footin Edits,Galaxy Sound Co.,"7"", W/Lbl",,2022,25409299,Home_Collection_IH,2023-08-04 17:52:50,Mint (M),Mint (M),
001,Red Axes,Ahuzat Bait,Garzen Records,"12"", EP, Ltd",,2015,7669727,Home_Collection_IH,2023-08-09 14:02:33,Mint (M),Mint (M),
B0003575-11,Mos Def,"Sex, Love & Money / Ghetto Rock","Geffen Records, Goodtree Media","12""",,2004,337718,Home_Collection_IH,2023-08-05 11:41:20,Mint (M),Mint (M),
GEMS2,Various,Untitled,Gems Under The Horizon,"12"", EP",,2022,23758040,Home_Collection_IH,2023-08-13 21:33:48,Mint (M),Mint (M),"Ambient, Downtempo
"
GN64,Smoke Point,Smoke Point,Geographic North,"12"", Album, Ltd, Loc",,2022,23653091,Home_Collection_IH,2023-08-17 15:00:26,Mint (M),Mint (M),
GC 777,Main One Featuring O.C.,Droppin Gramma,Ghetto Child Entertainment,"12""",,1997,312312,Home_Collection_IH,2023-08-13 14:19:02,Mint (M),Generic,
GR010,Adam Collins,Day 2 Day,Giant (9),"12"", Ltd, Num",,2017,10964892,Home_Collection_IH,2023-08-04 18:16:23,Mint (M),Near Mint (NM or M-),
GR011,Mariusz Kryska,Low Jam EP,Giant (9),"12"", EP, Ltd, Num, W/Lbl",,2018,11648603,Home_Collection_IH,2023-08-04 18:20:18,Mint (M),Near Mint (NM or M-),
GS002,Sweely,Bring It On,Global Swing,"12""",,2023,26142890,Home_Collection_IH,2023-08-13 22:08:46,Mint (M),Mint (M),
010,Le Révélateur,Fictions,Gneiss Things,"LP, Ltd",,2011,2993168,Home_Collection_IH,2023-08-17 13:46:59,Mint (M),Mint (M),
828 522-1,Portishead,Dummy,Go! Beat,"LP, Album",,1994,22840,Home_Collection_IH,2023-08-11 12:59:16,Mint (M),Mint (M),
"GOOD06, GOOD-06",Aquarian Foundation,Mind Miniatures,"Going Good, Going Good","LP, Album, Ltd",,2015,6612660,Home_Collection_IH,2024-06-19 12:30:25,Near Mint (NM or M-),Near Mint (NM or M-),Bought in Sihl Records for 14 CHF
"GR006, GR 006",Chef (2),"Extraball, The Remixes","Grill Records, Grill Records","12""",,2003,294723,Home_Collection_IH,2023-09-26 21:54:03,Mint (M),Generic,Bought for 6
GR030,stereociti,Reflexions,Groovement,"12"", EP",,2017,10643868,Home_Collection_IH,2023-08-17 14:42:03,Mint (M),Near Mint (NM or M-),
GSR-009,Raze,Jack Up Work Your Body,Grove St.,"12""",,1986,37936,Home_Collection_IH,2023-08-17 14:27:37,Mint (M),Generic,
GDR 046,Pablo,All Praises Due,Guidance Recordings,"12""",,1998,1263,Home_Collection_IH,2023-08-13 21:23:13,Mint (M),,
GDR117,Spylab,"International Operatives 12""",Guidance Recordings,"12""",,2002,54385,Home_Collection_IH,2023-08-17 15:44:22,Mint (M),Generic,
HSW003,Unknown Artist,Habits Stamped Wax 003,Habits Records,"12"", EP, Ltd, Mul",,2023,26715518,Home_Collection_IH,2023-08-05 11:45:09,Mint (M),Mint (M),
HED001,Unknown Artist,Untitled,HipHedits,"12"", W/Lbl",,2022,24905348,Home_Collection_IH,2023-08-13 21:02:13,Mint (M),Generic,Breaks (edits)
HPR003,Andrés,Andr​é​s Edits,Hot Pot Records,"12""",,2023,26948774,Home_Collection_IH,2023-08-13 22:28:51,Mint (M),Generic,Vinyl Only
EFUNK06,Various,EFunk Detroit Volume II,House Of Efunk Records,"12"", Ltd",,2023,27544095,Home_Collection_IH,2023-08-18 01:07:42,Mint (M),Generic,
HOV001 ,Orlando Voorn,We Made It EP ,Housewax,"12"", EP, Cle",,2016,8808615,Home_Collection_IH,2023-08-17 14:06:10,Mint (M),Mint (M),
HOLP-002,Nujabes,Metaphorical Music,Hyde Out Productions,"2xLP, Album, Ltd, RE",,2018,12639854,Home_Collection_IH,2023-11-03 13:08:36,Mint (M),Mint (M),Bought in 
HOLP-007,Various,Hydeout Productions - 2nd Collections,Hyde Out Productions,"2xLP, Comp, RE, Gat",,2023,25772590,Home_Collection_IH,2023-08-11 10:04:43,Mint (M),Mint (M),
Cliche 063,Red Axes,Shem Vol.II,I'm A Cliché,"12"", EP",,2015,7607571,Home_Collection_IH,2023-08-09 14:03:20,Mint (M),Mint (M),
ICON 004,Hydroponic Sound System presents Pat Peterson,What It's Supposed To Be,Icon Recordings,"12"", Single",,2001,59269,Home_Collection_IH,2023-09-26 21:37:50,Mint (M),Very Good (VG),Bought for 4
IGL009,Saint,Libera Mi Alma (Free My Soul),Igloo Music,"12""",,2003,206080,Home_Collection_IH,2023-09-26 21:49:14,Mint (M),Generic,Bought for 6
ILL72053-1,Illin' P,Bolero,Ill Boogie Records,"12""",,2002,1419674,Home_Collection_IH,2023-08-11 13:59:42,Mint (M),Near Mint (NM or M-),
ILL72025-1,Akbar,Hot Ya Hot / Hip Hop Is,"Ill Boogie Records, Blackberry Music","12""",,2000,516448,Home_Collection_IH,2023-08-05 11:52:02,Mint (M),Near Mint (NM or M-),
INK 126,C Cat Trance,She Steals Cars,Ink Records,"12""",,1985,105290,Home_Collection_IH,2023-08-05 11:59:32,Mint (M),Near Mint (NM or M-),
IBVC2005,Afro Elements (2),The 'Chocolat' EP,Internal Bass,"12"", EP",,2000,16019,Home_Collection_IH,2023-08-17 14:34:07,Mint (M),Near Mint (NM or M-),
ITWD 02,Roy Vision / DJ Rouge,Balance Vs Interweaved EP,Interweaved,"12""",,2023,26282795,Home_Collection_IH,2023-08-13 22:20:12,Mint (M),Generic,
03,Various,Various Artist 03,InTheBagg,"12""",,2023,27665769,Home_Collection_IH,2023-08-18 01:05:42,Mint (M),Generic,
INVT 006,Choc Electrique,Edge Of Time E.P.,Invincis,"12"", EP",,2000,70499,Home_Collection_IH,2023-10-05 17:00:03,Mint (M),Generic,
ITJ 16,ItaloJohnson,ITJ16,ItaloJohnson,"12"", W/Lbl, Sta",,2023,26665763,Home_Collection_IH,2023-08-13 22:27:03,Mint (M),Generic,"Minimal Techno
"
JAL  17,Skeewiff,Overdrive EP,Jalapeno Records,"12""",,2003,160080,Home_Collection_IH,2023-08-17 14:48:50,Mint (M),Near Mint (NM or M-),
JID010,Various,Jazz Is Dead 10 (Remixes),Jazz Is Dead,"2x12"", Album",,2021,22788029,Home_Collection_IH,2023-08-11 10:32:11,Mint (M),Mint (M),
JBO5013726P,Abraham,All the Fours,JBO,"12""",,2000,40150,Home_Collection_IH,2023-08-05 11:09:06,Mint (M),Near Mint (NM or M-),
01241-41679-1,A Tribe Called Quest,The Anthology,Jive,"2xLP, Comp, RE",,2015,7816096,Home_Collection_IH,2023-08-17 14:44:47,Mint (M),Mint (M),
cause006,GarcyNoise Presents Davomat,Vending Machine,Justified Cause,"12""",,2006,686650,Home_Collection_IH,2023-08-05 12:10:35,Mint (M),Near Mint (NM or M-),
JWTWN012,Tone B Nimble,Untitled,JustWhatTheWorldNeeds...,"12"", Ltd",,2023,27630375,Home_Collection_IH,2023-09-26 21:47:39,Mint (M),Generic,Bought for 18
KALK PETS 06,Junction SM,Junction SM EP,Kalk Pets,"12"", EP",,2006,755685,Home_Collection_IH,2023-08-17 15:53:44,Mint (M),Generic,
KOM 199,Coma (16),Crystal,Kompakt,"12""",,2009,1909820,Home_Collection_IH,2023-08-17 13:50:26,Mint (M),Near Mint (NM or M-),
LAF001,Spacetravel,Transhumanism,L'Amico Fritz,"12"", EP",,2023,26909798,Home_Collection_IH,2023-08-13 21:35:24,Mint (M),Mint (M),Minimal House (touch of acid)
BJR082,The Mauskovic Dance Band,Bukaroo Bank,Les Disques Bongo Joe,LP,,2022,25139272,Home_Collection_IH,2023-08-11 09:55:11,Mint (M),Mint (M),
LL14,John Matthias,The Insurance Man,Lifelike,"12""",,2002,218154,Home_Collection_IH,2023-08-05 11:54:27,Mint (M),Near Mint (NM or M-),
LOOD (008),Various,Relight ,Light of Other Days,"12"", EP",,2017,10843064,Home_Collection_IH,2024-07-14 21:02:58,Near Mint (NM or M-),Near Mint (NM or M-),Bought at Seihl records Zurich for 12 CHF
LG0005,Lovebeads Featuring Courtney Grey,This Is The Only Way,Liquid Groove,"12""",,1996,109671,Home_Collection_IH,2023-10-05 17:07:47,Near Mint (NM or M-),Generic,
LSS001,Thet Liturgiske Owäsendet,Catalina,Lobster Sleep Sequence,"LP, Album",,2016,9401023,Home_Collection_IH,2023-08-17 13:55:33,Mint (M),Mint (M),
LODE003,Unknown Artist,LODE003,Lode Records (2),"12"", Ltd",,2023,27720726,Home_Collection_IH,2023-10-05 16:55:37,Mint (M),Generic,
LVR00318,Rhye,Blood,Loma Vista,"LP, Album",,2018,11507232,Home_Collection_IH,2023-08-17 14:11:39,Mint (M),Mint (M),
RDCD-62766-1,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),Loud Records,"12"", Promo",,1994,1567213,Home_Collection_IH,2023-08-11 10:08:21,Mint (M),Generic,
"RPROLP4555, RPROLP 4555",Wu-Tang Clan,Pinky Ring,"Loud Records, Loud Records","12"", Promo",,2001,854163,Home_Collection_IH,2023-08-13 14:23:05,Mint (M),Near Mint (NM or M-),
LOWR001,Rick Wade,My Soul,Low Recordings (2),"12""",,2023,27033135,Home_Collection_IH,2023-08-18 01:06:16,Mint (M),Generic,
6 80899 0097-1-3,"Floating Points, Pharoah Sanders & London Symphony Orchestra",Promises,Luaka Bop,"LP, Album, Ltd, 180",,2021,17985154,Home_Collection_IH,2023-08-13 22:39:16,Mint (M),Mint (M),
MAOX 1002,Q (16),Q,M.A.O. Records,"12"", Red",,1982,647497,Home_Collection_IH,2023-08-17 13:49:25,Mint (M),Mint (M),
"MANA 11, OP054",Nicolas Jaar,Telas,"Mana (5), Other People","LP, Bla + LP, Cle + Album, Ltd",,2020,15904902,Home_Collection_IH,2023-08-17 15:25:53,Mint (M),Mint (M),
MNGVNL 002,Various,Mango Shake Vol. 2,Mango Sounds,"12"", EP",,2023,27544242,Home_Collection_IH,2023-08-05 13:32:17,Mint (M),Generic,
man002,Dos Noun & Mr. Burns (3),It Can't Be Wrong,Manifest Music,"12"", EP",,2003,877885,Home_Collection_IH,2023-08-18 00:58:22,Mint (M),Near Mint (NM or M-),
MAPA032,Sly Fidelity,"Wild, Wild, Child",Marine Parade,"12""",,2005,488667,Home_Collection_IH,2023-08-17 15:41:41,Mint (M),Near Mint (NM or M-),
MJ-0033,El Da Sensei,Brothas Ain't Got It,Mary Joy Recordings,"12""",,2000,767031,Home_Collection_IH,2023-08-11 12:49:04,Mint (M),Mint (M),
"MSAP100LP, MSAP100LPBLK",Nas,Magic,"Mass Appeal, Mass Appeal","LP, Album",,2022,23719262,Home_Collection_IH,2023-08-05 11:26:38,Mint (M),Mint (M),
MATE 008,Garrett David,"Live, Live",Mate (5),"12""",,2022,22962554,Home_Collection_IH,2023-08-11 09:25:20,Mint (M),Mint (M),
MATHEMATICS 060,Echo 106,Broken Hihat Machine EP,Mathematics Recordings,"12"", EP",,2012,3540095,Home_Collection_IH,2023-08-17 14:27:05,Mint (M),Mint (M),
088113950-1,Field Mob,All I Know / Sick Of Being Lonely (Jazze Pha Remix) / Cut Loose,MCA Records,"12""",,2002,1411339,Home_Collection_IH,2023-08-11 14:10:29,Mint (M),Mint (M),
MCA-36016,The Untouchables (7),Dance Party,MCA Records,"12"", EP, Pic",,1986,2773887,Home_Collection_IH,2023-08-17 14:35:30,Mint (M),Near Mint (NM or M-),
"DXS 7-526, 13173",Various,Autumn Leaves,"MCA Special Markets, Brookville Records","3xLP, Comp",,1969,7761975,Home_Collection_IH,2023-08-18 00:54:04,Very Good Plus (VG+),Very Good Plus (VG+),
Meteosound 018,Ferdinand Fehlers,Hearth,Meteosound,"12""",,2005,580171,Home_Collection_IH,2023-08-17 15:51:30,Mint (M),Generic,
MMC-002,AutoClub,AutoClub EP,Midnight Music Club,"12"", EP",,2020,16010546,Home_Collection_IH,2023-08-17 15:18:42,Mint (M),Generic,
MMC-004,AutoClub,Withdrawal,Midnight Music Club,"12"", EP, Ltd",,2021,19164256,Home_Collection_IH,2023-08-17 15:18:12,Mint (M),Generic,
MHC01,Mile High Klub,Da Neily Dan EP Promo,Milehighklub,"12"", EP, Promo",,2004,348126,Home_Collection_IH,2023-09-26 21:29:29,Mint (M),Generic,"Bought for 11
"
MILQ002,MILq,Milq002,Milq,"12""",,2022,23900531,Home_Collection_IH,2023-08-18 15:34:06,Mint (M),Generic,
MILQ003,MILq,Milq 003,Milq,"12""",,2023,26818064,Home_Collection_IH,2023-08-18 15:33:04,Mint (M),Generic,
mb005,Gregorythme,Cannibale E.P.,Minibar,"12"", EP",,2006,702045,Home_Collection_IH,2023-08-17 15:16:24,Mint (M),Generic,
minimood003,Liviu Groza,Samedi Après-Midi EP,minimood,"12"", EP",,2008,1271342,Home_Collection_IH,2023-08-04 18:09:12,Near Mint (NM or M-),Near Mint (NM or M-),
MOTE002,Dj Different,The Undisputed EP,Mood Of The Era,"12"", EP, Mag",,2017,10295655,Home_Collection_IH,2023-08-17 13:52:45,Mint (M),Mint (M),
MHR015-6,Various,Moon Harbour Inhouse Flights - Volume.One (Part Two Of Two),Moon Harbour Recordings,"12""",,2004,291629,Home_Collection_IH,2023-08-13 21:46:29,Mint (M),Very Good Plus (VG+),
MHR042-6,Luna City Express,Rough Neck,Moon Harbour Recordings,"12""",,2009,1764966,Home_Collection_IH,2024-06-20 14:16:04,Near Mint (NM or M-),Near Mint (NM or M-),Bought at Panthera Records for 16 CHF
651,Various,The Motown Sound - 16 Big Hits Vol 5,Motown,"LP, Comp",,1966,1609088,Home_Collection_IH,2023-08-18 00:42:40,Very Good Plus (VG+),Very Good Plus (VG+),
MVMTT01,Emma-Jean Thackray,Rain Dance EP,Movementt,"12"", EP",,2020,14887487,Home_Collection_IH,2023-08-11 12:54:48,Mint (M),Mint (M),
MFF12032,The Little Beasties,The Beast E.P.,Music For Freaks,"12"", EP",,2004,232867,Home_Collection_IH,2023-10-05 17:04:17,Mint (M),Very Good Plus (VG+),
"M4S 15 EP, M4S15EP",Sonar Lodge,Interior Backgrounds,"Music For Speakers, Music For Speakers","12"", EP",,2002,54567,Home_Collection_IH,2023-08-11 11:42:49,Mint (M),Mint (M),
MOVLP507,Tricky,Maxinquaye,"Music On Vinyl, 4th & Broadway","LP, Album, RE, 180",,2012,3430685,Home_Collection_IH,2023-08-11 11:35:16,Mint (M),Mint (M),
MK 039,Robag Wruhme,Leistenhans Zwo EP,Musik Krause,"2xFile, WAV, Single",,2012,8492621,Home_Collection_IH,2023-08-17 15:51:01,Near Mint (NM or M-),Generic,
MTK_EP07,Ernesto Ferreyra,Memoria Colectiva,Mutek_Rec,"12""",,2006,836572,Home_Collection_IH,2023-08-17 15:43:50,Mint (M),Near Mint (NM or M-),
ZONE003,Redance & Quickweave,Burning Heat ,Mystery Zone Records,"12"", EP",,2022,23742416,Home_Collection_IH,2023-08-17 14:58:45,Mint (M),Mint (M),
MYST 10,Paranoid Pyramid,The Acid Quest EP,Mystical Disco,"12""",,2023,26181851,Home_Collection_IH,2023-08-25 15:42:41,Mint (M),Generic,
MYST 8.5,Jackson Lee,Untitled,Mystical Disco,"12""",,2021,19309627,Home_Collection_IH,2023-08-17 14:16:54,Mint (M),Generic,
NA002,Various,Antheme 02: Studies In Detailed Design,Nataural Anthemes,"12""",,2005,740487,Home_Collection_IH,2023-08-13 22:04:20,Mint (M),Generic,Minimal Glitch
NH001,Neotex,Perspective Shift,Natural-High,"12""",,2022,22477445,Home_Collection_IH,2023-08-13 22:21:59,Mint (M),Generic,
NBASTWAX011,HDSN,Break Ups 2 Make Ups,NBAST,"12"", Tra",,2021,17147179,Home_Collection_IH,2023-08-17 14:15:20,Mint (M),Mint (M),
NEON 001,Reflex,Y' Soul,Neon Wave,"12"", Promo",,2003,216322,Home_Collection_IH,2023-09-26 21:33:52,Mint (M),Generic,"Bought for 7
"
ZEN279D,Bonobo,Fragments,Ninja Tune,"2xLP, Album, Ltd, Red",,2022,21709576,Home_Collection_IH,2023-08-17 14:10:13,Mint (M),Mint (M),
KNG 99,MKL Vs. Soy Sos,Skin / Moments In My Life,Nite Grooves,"12""",,1999,146972,Home_Collection_IH,2023-09-26 21:51:14,Mint (M),Generic,Bought for 5
none,SuperKrush,Frisco Disco (After Hours),Not On Label,"12"", EP",,0,12846359,Home_Collection_IH,2023-08-13 14:35:09,Mint (M),Generic,
DID 001,Dido,Hunter (François K. Remix),Not On Label (Dido),"12"", S/Sided, Unofficial",,2001,64920,Home_Collection_IH,2023-10-05 17:09:24,Near Mint (NM or M-),Generic,
M 877,Frankie Knuckles / Lil' Louis,Whistle Song / Do U Luv Me (Re-Edits),"Not On Label (Frankie Knuckles), Not On Label (Lil' Louis)","12"", Unofficial",,2003,183574,Home_Collection_IH,2023-08-17 14:29:12,Mint (M),Generic,
OMR05,Maxmillion Dunbar,Shaping EP,Off Minor Recordings,"12"", EP",,2015,6791207,Home_Collection_IH,2023-08-17 13:51:13,Mint (M),Mint (M),
OGE009,Relic (32),Relic EP,oge,"12""",,2019,13107088,Home_Collection_IH,2023-08-05 13:28:17,Mint (M),Generic,
onitor 42,Gringo Grinder,Take It Sleazy,Onitor,"12""",,2005,433996,Home_Collection_IH,2023-08-17 14:15:55,Mint (M),Mint (M),
OMM005,Unknown Artist,OMM 005 ,Only Music Matters,"12"", EP, Lim",,2023,27193074,Home_Collection_IH,2023-08-18 15:39:04,Mint (M),Mint (M),
OMM006,Unknown Artist,OMM 006,Only Music Matters,"12"", EP",,2023,28261126,Home_Collection_IH,2023-10-05 16:54:55,Mint (M),Mint (M),Bought for 20
OOZE001 ,RufKraft,The Secret Of The Ooze ,Ooze (2),"7"", S/Sided, Gre",,2020,16527915,Home_Collection_IH,2023-08-17 13:57:19,Mint (M),Generic,
PS001,SixFingers,PS 001,Panic Sound Records,"12""",,2017,10688396,Home_Collection_IH,2023-08-13 21:05:29,Mint (M),Generic,Minimal Techno
PB003,Unknown Artist,PB #03,PB Records (8),"12"", S/Sided",,2022,25650685,Home_Collection_IH,2023-08-18 15:28:54,Mint (M),Generic,
PAX2016,Chantilly,Tasty Treats,Peace Feast,"12""",,2000,745506,Home_Collection_IH,2023-10-05 17:10:16,Near Mint (NM or M-),Generic,
PT006.EP,Talk Feat. Mustafa Akbar,Touching You EP,Perfect.Toy Records,"12"", EP",,2003,231145,Home_Collection_IH,2023-08-17 14:19:13,Mint (M),Generic,
PHI-18,Windsurfer,The Gone Village,Phantom Island,"12"", EP",,2020,16338687,Home_Collection_IH,2024-06-19 12:29:09,Near Mint (NM or M-),Near Mint (NM or M-),Bought in Sihl Records for 18 CHF
SPC-3382,The Andrews Sisters,"Sing, Sing, Sing",Pickwick/33 Records,"LP, RE",,1974,5521935,Home_Collection_IH,2023-08-18 00:47:31,Near Mint (NM or M-),Near Mint (NM or M-),
"PFRLP9, 5099902988016",Pink Floyd,Wish You Were Here,"Pink Floyd Records, Pink Floyd Records","LP, Album, RE, RM, 180",,2016,9180570,Home_Collection_IH,2023-08-17 14:55:15,Mint (M),Mint (M),
PD-1-6184,Gloria Gaynor,Love Tracks,Polydor,"LP, Album",,1978,10123284,Home_Collection_IH,2023-11-19 08:42:38,Near Mint (NM or M-),Very Good Plus (VG+),Bought for 5$ in Good Records
POP T002,The Modernist,Mrs. New Deal,Popular Tools,"12""",,1999,28092,Home_Collection_IH,2023-08-17 14:34:50,Mint (M),Near Mint (NM or M-),
PGS 016,Tammy Lakkis,Notice,Portage Garage Sounds,"12"", EP",,2021,17904202,Home_Collection_IH,2023-08-11 09:23:37,Mint (M),Mint (M),
PULPCORN007,Unknown Artist,PULPCORN007,Pulp Corn Recordings,"10"", Ltd, Num, W/Lbl",,2022,22151434,Home_Collection_IH,2023-08-18 15:43:56,Mint (M),Generic,
PULPCORN008,Unknown Artist,PULPCORN008,Pulp Corn Recordings,"10"", Ltd, Num, Gre",,2022,22184287,Home_Collection_IH,2023-08-04 17:58:28,Mint (M),Mint (M),
