Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
TLE-091,French Cassettes,Rolodex,Tender Loving Empire,"12"", Plu",,2020,17132349,Home_Collection_IH,2023-08-17 14:49:20,Mint (M),Mint (M),
TerraFirm 7,Spandrel,Geolectrics,TerraFirm,"12"", EP",,2022,24128528,Home_Collection_IH,2023-08-17 15:25:01,Mint (M),Mint (M),
TerraFirm 9,Impulse Translation,Synchronia,TerraFirm,"12"", EP",,2023,26237267,Home_Collection_IH,2023-08-17 13:56:57,Mint (M),Mint (M),
CRL 014,Innerstance.Beatbox,Tekniques,The Consumers Research & Development Label,"12""",,2006,663428,Home_Collection_IH,2023-08-11 14:09:20,Mint (M),Generic,
EDGE01,Unknown Artist,The Universe,The Edge Of Me,"12"", Whi",,2022,22699754,Home_Collection_IH,2023-08-17 14:39:32,Mint (M),Generic,
TUOC011,Sunshine Jones,Fall In Love Not In Line Remixes,The Urgency Of Change,"12""",,2020,16164693,Home_Collection_IH,2023-08-13 22:43:53,Mint (M),Generic,
Y-58085,The Daou,Give Myself To You,TRIBAL America,"12""",,1993,47652,Home_Collection_IH,2023-08-17 13:53:27,Mint (M),Near Mint (NM or M-),
SOLID-1024,Ryo Fukui,Mellow Dream,"Trio Records, Solid Records (6), Ultra-Vybe","LP, Album, RE",,2017,10408945,Home_Collection_IH,2023-11-19 08:36:45,Mint (M),Mint (M),Bought in Good Records for 49$
TW 25,Pork & Tony Featuring Private Agenda,Tusk Wax Twenty Five,Tusk Wax,"12"", Ltd, Num, W/Lbl",,2018,12134774,Home_Collection_IH,2023-08-05 11:35:04,Mint (M),Generic,
UR12 052,P'Taah,Compressed Light,Ubiquity,"12"", Ltd",,1999,40863,Home_Collection_IH,2023-08-17 14:36:02,Mint (M),Near Mint (NM or M-),
UR12088,Interfearence,Take That Train,Ubiquity,"12""",,2002,114481,Home_Collection_IH,2023-08-17 14:04:42,Mint (M),Mint (M),
UKYRS002,Various,Retro Series vol.2,Ukiyo Music,"12""",,2022,22602206,Home_Collection_IH,2023-08-17 15:08:39,Mint (M),Generic,
UP001,Cantor (2),Convergence EP,Underground Pacific,"12"", EP",,2020,15668134,Home_Collection_IH,2023-08-17 15:16:57,Mint (M),Mint (M),
H2O069,Pnau,Enuffs Enuff,Underwater Records,"12""",,2005,550621,Home_Collection_IH,2023-08-17 15:43:12,Mint (M),Near Mint (NM or M-),
UAS-5535,Don McLean,American Pie,United Artists Records,"LP, Album",,1971,7999597,Home_Collection_IH,2023-08-18 00:51:26,Near Mint (NM or M-),Near Mint (NM or M-),
015 430-1,Mino Cinelu,Quest,Universal Music France,"12""",,2001,1042110,Home_Collection_IH,2023-08-17 15:17:51,Mint (M),Near Mint (NM or M-),
UA-010,Steve Crawford (8),Arctic Vibration,Upstairs Asylum Recordings,"7""",,2022,23029874,Home_Collection_IH,2023-08-04 17:53:19,Mint (M),Mint (M),
UAR 002,Norm Talley,Tracks From The Asylum,Upstairs Asylum Recordings,"12"", RE",,2021,17297098,Home_Collection_IH,2023-08-13 22:25:34,Mint (M),Mint (M),
UAR 003 ,Norm Talley,Tracks From The Asylum 2,Upstairs Asylum Recordings,"12""",,2021,17793745,Home_Collection_IH,2023-08-13 22:22:53,Mint (M),Mint (M),
UAR 009,Various,The Sundowners EP,Upstairs Asylum Recordings,"12"", EP",,2022,22676675,Home_Collection_IH,2023-08-05 13:21:43,Mint (M),Mint (M),
75021 7037 1,The Crew Featuring Freedom Williams,Get Dumb! (Free Your Body),"Vendetta Records (2), A&M Records","12""",,1990,116350,Home_Collection_IH,2023-08-17 14:31:33,Mint (M),Generic,
VERR01408-1,Various,Verve // Remixed 3: Selected Mixes,Verve Records,"12"", Comp, Promo, Smplr",,2005,430135,Home_Collection_IH,2023-08-17 15:15:04,Mint (M),Near Mint (NM or M-),
"V-8720, V6-8720",Ella Fitzgerald,The Best Of Ella Fitzgerald,"Verve Records, Verve Records","LP, Comp",,0,3404555,Home_Collection_IH,2023-08-18 00:47:56,Near Mint (NM or M-),Near Mint (NM or M-),
VAG 003,Shaka (5),The Jazz Bar Next Door EP,Vibes And Grooves,"12"", EP",,2020,15301200,Home_Collection_IH,2023-08-17 15:06:02,Mint (M),Generic,
3423726,Various,Technics TECHNO.01,Wagram Music,"2xLP, Comp",,2022,25105513,Home_Collection_IH,2023-08-13 14:38:26,Mint (M),Mint (M),
BSK 3296,Rickie Lee Jones,Rickie Lee Jones,Warner Bros. Records,"LP, Album, Don",,1979,1173404,Home_Collection_IH,2023-08-18 00:45:12,Near Mint (NM or M-),Near Mint (NM or M-),
PRO-A-100913,D'Mello,Best Love Story,Warner Bros. Records,"12"", Promo",,2002,964160,Home_Collection_IH,2023-08-13 14:08:20,Near Mint (NM or M-),Very Good Plus (VG+),
"5046727660, 5046 727 660",Chaka Khan / Rufus & Chaka Khan,I'm Every Woman / Ain't Nobody,"Warner Bros. Records, Warner Bros. Records, WSM, WSM","12""",,2004,323481,Home_Collection_IH,2023-10-05 16:58:14,Mint (M),Mint (M),Bought for 10
WXTFX008,Don Patron,Smooth LP,Waxtefacts,"LP, Album, 180",,2018,12325821,Home_Collection_IH,2023-08-11 14:14:08,Mint (M),Generic,
WGD 12005,James Shinra,We're Going Deep 12005,We're Going Deep,"12""",,2023,26825054,Home_Collection_IH,2023-08-18 01:08:09,Mint (M),Generic,
WENDE 001,Metaboman,Wende 001,Wende,"12""",,2022,23512175,Home_Collection_IH,2023-08-13 21:18:31,Mint (M),Mint (M),Deep House (darkish)
White Denim #17,Tin Man (3),Scared,White Denim,LP,,2010,2272112,Home_Collection_IH,2023-08-17 15:01:23,Mint (M),Near Mint (NM or M-),
WM-70,Various,Wicked Mix 70,Wicked Mix,"12"", Comp, Promo",,2002,1388798,Home_Collection_IH,2023-08-11 10:14:57,Mint (M),Mint (M),
WSDM023,Jorg Kuning,Chosta-del-sol,Wisdom Teeth,"12""",,2022,24575930,Home_Collection_IH,2023-08-17 15:06:31,Mint (M),Generic,
Wbl004,Def Harmonic,Transmissions,Wobblyhead,"12""",,2000,95361,Home_Collection_IH,2023-08-05 11:38:37,Mint (M),Mint (M),
Wbl011,Innerstance.Beatbox,All Little Boys Do Silly Little Dances,Wobblyhead,LP,,2003,235133,Home_Collection_IH,2023-08-18 01:02:17,Mint (M),Mint (M),
WOM-06-20062,Fabbiden,Proper Dosage / It Iz What It Iz,Works Of Mart Entertainment,"12"", Promo",,2006,776244,Home_Collection_IH,2023-08-13 14:06:50,Mint (M),Mint (M),
XJR 401,Jackass & Mule,1 - 2 - 3 Miami,Xylophone Jones Recordings,"12""",,2002,35818,Home_Collection_IH,2023-09-26 21:39:26,Mint (M),Generic,Bought for 5
YP 138,The Mighty Bop Feat. Duncan Roy,Lady,Yellow Productions,"12""",,2003,134192,Home_Collection_IH,2023-08-05 11:57:36,Mint (M),Near Mint (NM or M-),
yore-043,Sebastian Gummersbach,Eden EP,Yore Records,"12"", EP",,2023,26356304,Home_Collection_IH,2023-08-05 11:13:42,Mint (M),Generic,
YR017,Dished-Out Bums,Sector Two E.P.,Yoshitoshi Recordings,"12"", EP",,1998,29687,Home_Collection_IH,2023-08-05 12:02:32,Mint (M),Near Mint (NM or M-),
MALIK-001,Malik Yusef,Malik Yousef Presents The Great Chicago Fire ...,Zoawe Records,"12"", Promo",,2003,1493618,Home_Collection_IH,2023-08-11 13:57:33,Mint (M),Generic,
7294276309292,Assaf Amdursky,432,אא מוזיקה,"LP, Album",,2021,20067895,Home_Collection_IH,2023-08-17 14:48:16,Mint (M),Mint (M),
